iter	Passed	Remaining
1111	204270	163122
1112	204442	162929
1113	204599	162724
1114	204755	162519
1115	204928	162326
1116	205096	162131
1117	205277	161945
1118	205381	161698
1119	205560	161511
1120	205771	161350
1121	205962	161171
1122	206117	160965
1123	206279	160766
1124	206445	160568
1125	206557	160329
1126	206728	160136
1127	206914	159955
1128	207074	159753
1129	207257	159569
1130	207423	159372
1131	207603	159187
1132	207782	159000
1133	207983	158830
1134	208179	158656
1135	208363	158473
1136	208583	158317
1137	208695	158080
1138	208841	157868
1139	208988	157657
1140	209149	157458
1141	209319	157264
1142	209522	157096
1143	209724	156926
1144	209896	156734
1145	210064	156540
1146	210217	156334
1147	210383	156138
1148	210536	155932
1149	210729	155756
1150	210932	155587
1151	211123	155410
1152	211311	155230
1153	211460	155022
1154	211617	154819
1155	211715	154574
1156	211866	154367
1157	212025	154166
1158	212160	153948
1159	212351	153771
1160	212500	153563
1161	212685	153382
1162	212898	153220
1163	213095	153047
1164	213315	152891
1165	213542	152739
1166	213727	152557
1167	213929	152388
1168	214121	152211
1169	214314	152035
1170	214480	151839
1171	214634	151636
1172	214804	151443
1173	214978	151254
1174	215156	151067
1175	215363	150901
1176	215529	150705
1177	215680	150500
1178	215830	150294
1179	216010	150109
1180	216197	149928
1181	216364	149734
1182	216609	149594
1183	216826	149434
1184	217013	149254
1185	217188	149065
1186	217382	148889
1187	217586	148720
1188	217790	148552
1189	217981	148374
1190	218174	148197
1191	218358	148014
1192	218530	147824
1193	218672	147613
1194	218840	147419
1195	219023	147236
1196	219223	147064
1197	219417	146888
1198	219617	146717
1199	219796	146531
1200	219976	146345
1201	220133	146145
1202	220301	145952
1203	220466	145756
1204	220636	145565
1205	220816	145379
1206	221009	145203
1207	221158	144998
1208	221259	144761
1209	221428	144569
1210	221602	144380
1211	221767	144185
1212	221946	144000
1213	222060	143772
1214	222247	143592
1215	222454	143424
1216	222665	143259
1217	222854	143080
1218	222939	142835
1219	223106	142641
1220	223268	142445
1221	223452	142263
1222	223651	142091
1223	223841	141912
1224	224022	141728
1225	224218	141554
1226	224403	141372
1227	224544	141163
1228	224700	140963
1229	224866	140770
1230	225079	140606
1231	225257	140420
1232	225446	140240
1233	225630	140059
1234	225841	139893
1235	226032	139715
1236	226191	139518
1237	226333	139310
1238	226482	139106
1239	226638	138907
1240	226839	138735
1241	227036	138561
1242	227228	138384
1243	227403	138197
1244	227564	138000
1245	227727	137806
1246	227897	137615
1247	228089	137438
1248	228222	137226
1249	228417	137050
1250	228614	136876
1251	228778	136682
1252	228950	136492
1253	229122	136304
1254	229282	136107
1255	229464	135924
1256	229632	135733
1257	229816	135551
1258	229989	135363
1259	230168	135178
1260	230326	134981
1261	230421	134747
1262	230576	134548
1263	230742	134356
1264	230947	134186
1265	231166	134025
1266	231289	133808
1267	231441	133607
1268	231597	133410
1269	231766	133220
1270	231934	133029
1271	232110	132843
1272	232289	132658
1273	232459	132468
1274	232630	132280
1275	232788	132083
1276	232958	131894
1277	233128	131705
1278	233216	131469
1279	233419	131298
1280	233617	131124
1281	233821	130954
1282	234024	130783
1283	234202	130598
1284	234364	130404
1285	234484	130187
1286	234614	129976
1287	234796	129794
1288	234955	129599
1289	235147	129422
1290	235335	129243
1291	235484	129042
1292	235629	128840
1293	235788	128645
